Status,Condition,District,Area,Rooms,Bathrooms,Balcony+,Heating,Conditioner,Parking,Lift,PerSq
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,53,3,1,0,0,0,0,1,670
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,80,3,1,10,0,0,0,2,664
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,56,2,1,5,0,0,0,2,661
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,53,2,1,0,1,0,1,0,660
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,55,2,1,3,1,0,1,2,655
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,60,3,1,3,1,0,0,1,655
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,59,3,1,6,0,0,0,1,653
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,48,2,1,0,1,0,0,1,650
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,80,3,2,32,1,0,0,2,638
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,60,2,1,7,0,0,0,1,637
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,61,2,1,8,1,0,0,1,626
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,60,2,1,10,1,0,1,2,625
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,58,2,1,0,1,0,1,0,621
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,56,3,1,6,1,0,1,1,616
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,41,2,1,0,0,0,1,0,610
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,100,4,1,15,1,0,1,1,600
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,81,3,1,0,1,0,1,1,599
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,78,3,1,6,0,0,0,2,590
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,78,3,1,24,0,0,0,1,590
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,79,3,1,5,1,0,1,1,589
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,78,3,1,4,0,0,0,1,577
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,54,1,1,2,1,0,1,0,559
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,72,3,3,6,1,1,1,0,542
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,44,2,1,0,1,0,1,0,520
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,60,3,1,7,0,0,0,1,667
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,130,5,2,0,0,0,1,1,638
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,54,3,1,4,0,0,0,2,620
ახალი აშენებული,თეთრი კარკასი,დიდი დიღომი,47,3,1,0,0,0,1,1,606
