ID,Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,Views,PerSq,PREDICTION,Difference
8951839,new,newRenov,nadzaladevi,554,5,3,2,10,10,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,21,487,620,133
8958531,old,oldRenov,varketili,57,2,2,1,2,4,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,22,491,432,59
8659538,old,oldRenov,vazisubani,95,4,3,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,495,419,76
8398388,new,black,didDigomi,78,3,2,1,2,5,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,2093,495,478,17
8959150,new,black,didDigomi,82,2,1,1,5,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,496,454,42
8922299,new,black,didDigomi,60,2,1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,144,497,434,63
8941358,new,black,didDigomi,85,3,2,1,13,16,21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,37,498,502,4
8941334,new,black,didDigomi,109,4,2,2,5,16,21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,34,498,504,6
8902794,new,white,didDigomi,45,2,1,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847,498,504,6
8941349,new,black,didDigomi,67,2,1,1,12,16,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,27,499,510,11
8958975,old,newRenov,varketili,110,4,3,2,8,9,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,7,500,570,70
8955082,new,white,nadzaladevi,65,2,1,1,7,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,82,500,598,98
8951973,WIP,black,saburtalo,70,3,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,500,534,34
8951940,WIP,black,saburtalo,43,2,1,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,500,541,41
8948494,old,newRenov,saburtalo,160,4,3,1,9,9,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,55,500,734,234
8947851,old,oldRenov,vazisubani,46,1,1,1,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,117,500,415,85
8945704,old,oldRenov,digmisMas,130,5,3,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,500,558,58
8945312,new,black,didDigomi,53,2,1,1,10,12,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,86,500,506,6
8943630,new,black,didDigomi,127,4,3,2,6,12,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,86,500,515,15
8943628,new,black,didDigomi,102,3,2,2,4,12,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,198,500,528,28
8943590,old,oldRenov,muxiani,110,4,3,2,9,9,15,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,82,500,520,20
8936490,old,oldRenov,saburtalo,110,4,2,1,7,9,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,77,500,664,164
8932350,old,oldRenov,didDigomi,110,4,3,2,9,9,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,72,500,534,34
8927098,old,oldRenov,temqa,100,4,3,2,6,9,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,91,500,504,4
8927087,old,oldRenov,gldani,90,5,3,1,7,9,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,118,500,533,33
8924796,old,oldRenov,varketili,54,2,1,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,500,471,29
