Status,Condition,District,Area,Rooms,Bathrooms,Balcony,lastoffirst,Heating,Parking,Storeroom,Fireplace,Furniture,Lift,Conditioner,PerSq
new,newRenov,saburtalo,52,2,1,6,1,1,1,0,0,1,1,1,1154
new,newRenov,saburtalo,55,3,2,6,1,1,0,0,0,0,0,0,1091
new,newRenov,saburtalo,60,2,1,6,1,1,0,1,0,1,1,0,1067
new,newRenov,saburtalo,64,2,1,6,1,1,0,0,0,1,1,1,1063
new,newRenov,saburtalo,73,3,1,6,1,0,0,0,0,0,1,1,1055
new,black,saburtalo,129,4,3,6,1,0,1,0,0,0,1,0,835
old,newRenov,chugureti,130,5,1,6,1,1,1,1,0,1,0,1,654
new,newRenov,vake,135,4,1,17,1,1,1,1,1,1,1,0,1148
new,newRenov,didiDigomi,120,3,1,10,1,1,1,1,1,0,1,0,750
new,white,digmisMas,49,2,2,10,1,1,0,0,0,0,1,0,751
new,white,digmisMas,69,3,2,10,1,1,0,0,0,0,1,0,700
new,black,digmisMas,43,2,2,10,1,1,0,0,0,0,1,0,751
old,black,vaja,74,3,1,32,1,0,0,0,0,0,0,0,500
old,oldRenov,nucubidze,115,4,2,25,1,1,0,1,0,1,1,1,539
old,oldRenov,isani,120,5,1,17,1,1,1,1,0,0,1,0,586
old,oldRenov,vake,93,3,1,15,1,1,1,1,0,0,1,1,720
old,oldRenov,varketili,71,3,1,15,1,0,1,0,0,1,1,0,563
old,oldRenov,samgori,85,3,1,15,1,1,0,1,0,1,0,0,435
new,newRenov,digmisMas,100,3,1,12,1,1,1,1,0,0,1,1,867
new,newRenov,gldani,45,2,1,5,1,1,0,0,0,0,1,0,778
new,newRenov,gldani,46,2,1,5,1,0,0,0,0,0,1,0,739
new,newRenov,didiDigomi,61,3,1,5,1,1,0,0,0,1,1,0,820
new,newRenov,didiDigomi,52,2,1,5,1,0,0,0,0,0,1,0,769
new,newRenov,didiDigomi,75,3,1,5,1,1,1,1,0,0,1,0,692
new,newRenov,didiDigomi,50,2,1,5,1,0,0,0,0,0,0,0,680
