Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,PerSq
new,newRenov,didiDigomi,57,3,2,1,7,9,3,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,682
new,newRenov,didiDigomi,57,3,2,1,4,11,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,681
new,newRenov,didiDigomi,64,3,2,1,3,10,3,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,680
new,newRenov,didiDigomi,50,2,1,1,8,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680
new,newRenov,didiDigomi,63,3,2,1,3,10,3,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,675
new,newRenov,didiDigomi,54,3,2,1,7,12,7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,672
new,newRenov,didiDigomi,50,2,1,1,6,9,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,672
new,newRenov,didiDigomi,51,2,1,1,6,9,5,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,671
new,newRenov,didiDigomi,53,3,2,1,3,11,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,670
new,newRenov,didiDigomi,80,3,0,1,11,12,10,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,664
new,newRenov,didiDigomi,56,2,1,1,6,12,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,661
new,newRenov,didiDigomi,53,2,1,1,2,10,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,660
new,newRenov,didiDigomi,55,2,1,1,5,10,3,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,655
new,newRenov,didiDigomi,60,3,2,1,3,13,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,655
new,newRenov,didiDigomi,59,3,1,1,6,11,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,653
new,newRenov,didiDigomi,48,2,1,1,2,11,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,650
new,newRenov,didiDigomi,80,3,2,2,13,14,16,16,0,1,0,0,1,1,1,0,0,1,1,1,0,0,638
new,newRenov,didiDigomi,60,2,1,1,6,10,7,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,637
new,newRenov,didiDigomi,61,2,1,1,6,10,8,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,626
new,newRenov,didiDigomi,60,2,1,1,9,9,10,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,625
new,newRenov,didiDigomi,58,2,1,1,1,10,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,621
new,newRenov,didiDigomi,56,3,2,1,4,9,6,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,616
new,newRenov,didiDigomi,41,2,1,1,1,3,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,610
new,newRenov,didiDigomi,100,4,3,1,8,8,15,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,600
new,newRenov,didiDigomi,81,3,2,1,5,9,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,599
new,newRenov,didiDigomi,78,3,2,1,9,10,6,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,590
new,newRenov,didiDigomi,78,3,2,1,9,11,4,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,590
new,newRenov,didiDigomi,79,3,2,1,6,10,5,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,589
new,newRenov,didiDigomi,78,3,2,1,8,10,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,577
new,newRenov,didiDigomi,54,1,1,1,1,4,2,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,559
new,newRenov,didiDigomi,72,3,2,3,5,5,6,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,542
new,newRenov,didiDigomi,44,2,1,1,0,5,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,520
new,newRenov,digmisMas,95,4,3,2,8,11,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1300
new,newRenov,digmisMas,46,2,1,1,6,9,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1100
new,newRenov,digmisMas,145,4,3,2,15,17,4,4,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1034
new,newRenov,digmisMas,78,3,2,1,13,17,5,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1032
new,newRenov,digmisMas,91,3,2,1,10,11,10,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1000
new,newRenov,digmisMas,100,3,2,1,12,12,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1000
new,newRenov,digmisMas,120,4,120,3,9,15,7,7,0,1,1,1,1,1,1,0,0,1,1,0,1,0,958
new,newRenov,digmisMas,23,2,1,1,0,12,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,909
new,newRenov,digmisMas,142,4,3,2,2,12,15,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,890
new,newRenov,digmisMas,100,3,2,1,10,12,5,0,7,1,1,1,1,1,1,0,0,1,1,1,1,1,867
new,newRenov,digmisMas,73,3,2,1,5,12,4,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,863
new,newRenov,digmisMas,73,3,2,1,5,12,4,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,863
new,newRenov,digmisMas,60,3,2,1,2,10,5,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,817
new,newRenov,digmisMas,130,4,3,3,13,13,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,808
new,newRenov,digmisMas,72,3,2,1,2,10,5,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,722
new,newRenov,digmisMas,72,3,2,1,2,10,5,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,694
new,newRenov,digmisMas,64,2,1,1,6,6,0,20,0,1,0,0,1,1,0,0,1,0,0,0,0,1,597
new,newRenov,digmisMas,78,5,4,1,3,6,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,590
new,newRenov,digmisMas,78,5,4,2,3,6,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,577
new,newRenov,vake,61,2,1,1,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502
new,newRenov,vake,127,3,2,2,3,10,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1417
new,newRenov,vake,109,3,2,1,11,17,0,27,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1337
new,newRenov,vake,71,2,1,1,6,24,16,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1330
new,newRenov,vake,91,2,1,1,9,10,6,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1319
