ID,Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,Views,PerSq
8753474,old,oldRenov,chugureti,81,3,2,1,1,2,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,296,1111
8935257,old,oldRenov,chugureti,42,3,2,1,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,189,590
8934470,old,oldRenov,chugureti,120,3,2,1,2,5,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,56,1192
8932949,old,oldRenov,chugureti,45,2,1,1,4,5,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,80,956
8932910,old,oldRenov,chugureti,45,2,1,1,4,5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,51,956
8931672,old,oldRenov,chugureti,43,1,0,1,2,2,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,186,1023
8931507,old,oldRenov,chugureti,120,4,0,1,2,2,10,10,15,1,1,1,1,1,1,1,1,0,0,1,1,0,74,608
8931052,old,oldRenov,chugureti,70,2,1,1,3,5,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,97,986
8928409,old,oldRenov,chugureti,23,2,1,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,64,1957
8877946,old,oldRenov,chugureti,140,5,3,2,2,3,12,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,103,801
8856857,old,oldRenov,chugureti,140,4,2,1,3,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,119,750
8922854,old,oldRenov,chugureti,50,2,1,2,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,111,550
8940860,new,newRenov,didDigomi,78,3,2,1,3,10,10,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,893,615
8958091,new,newRenov,didDigomi,48,2,1,1,2,15,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,103,771
8937168,new,newRenov,didDigomi,60,3,2,1,3,10,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,348,667
8958703,new,newRenov,didDigomi,57,3,2,1,3,14,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,52,930
8955023,new,newRenov,didDigomi,115,3,2,1,4,6,12,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,109,730
8893497,new,newRenov,didDigomi,70,3,1,1,7,10,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1639,757
8935226,new,newRenov,didDigomi,70,3,2,1,5,9,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,390,640
8924663,new,newRenov,didDigomi,44,2,1,1,5,9,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,510,700
8952280,new,newRenov,didDigomi,50,2,1,1,4,9,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,103,672
8943567,new,newRenov,didDigomi,85,3,2,1,6,14,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,147,640
8935031,new,newRenov,didDigomi,47,2,0,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,702
8890151,new,newRenov,didDigomi,56,3,2,1,2,8,5,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,297,768
8957211,new,newRenov,didDigomi,60,2,1,1,3,6,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,27,817
8887986,new,newRenov,didDigomi,47,2,1,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,766
8848825,new,newRenov,didDigomi,70,4,3,1,9,14,4,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1779,686
8939077,new,newRenov,didDigomi,44,2,1,1,6,10,3,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,423,659
8934650,new,newRenov,didDigomi,55,3,2,1,5,10,4,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,396,636
8956745,new,newRenov,didDigomi,52,2,1,1,4,10,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,57,652
8866877,new,newRenov,didDigomi,81,3,1,1,9,18,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,821,833
8838689,new,newRenov,didDigomi,53,2,1,1,5,10,4,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1627,623
8949257,new,newRenov,didDigomi,53,3,2,2,2,10,53,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,238,660
8916980,new,newRenov,didDigomi,63,3,2,1,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,659
8937697,new,newRenov,didDigomi,52,2,1,1,3,12,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,184,702
8897169,new,newRenov,didDigomi,58,3,2,1,9,10,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,437,733
8914694,new,newRenov,didDigomi,70,3,2,1,9,17,5,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,685,683
8940076,new,newRenov,didDigomi,51,2,1,1,9,11,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,224,671
8755433,new,newRenov,didDigomi,59,2,1,1,3,9,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,609,678
8778438,new,newRenov,didDigomi,48,2,1,1,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090,740
8952023,new,newRenov,didDigomi,80,3,2,2,9,11,5,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,104,669
8957302,new,newRenov,didDigomi,52,2,1,1,6,14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,30,769
8853181,new,newRenov,didDigomi,36,2,1,1,6,9,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,113,1194
8945440,new,newRenov,didDigomi,60,3,2,1,3,13,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,179,615
8616710,new,newRenov,didDigomi,81,3,2,1,4,4,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,911,710
8835714,new,newRenov,didDigomi,41,2,1,1,3,8,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,265,707
8943355,new,newRenov,didDigomi,45,2,1,1,14,16,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,54,800
8959398,new,newRenov,didDigomi,95,3,2,1,8,8,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,16,705
8946344,new,newRenov,didDigomi,45,2,1,1,10,11,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,219,711
8932329,new,newRenov,didDigomi,57,3,1,1,8,12,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,278,646
8714944,new,newRenov,didDigomi,100,4,3,1,8,8,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,434,570
8940646,new,newRenov,didDigomi,50,2,1,1,6,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,700
8923776,new,newRenov,didDigomi,54,2,1,1,3,11,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,261,622
8730469,new,newRenov,didDigomi,56,3,2,1,2,12,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,358,696
8958008,new,newRenov,didDigomi,47,2,1,1,10,12,3,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,50,670
8957406,new,newRenov,didDigomi,57,3,2,1,7,13,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,27,930
8542680,new,newRenov,didDigomi,86,3,2,1,8,12,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3635,651
8955162,new,newRenov,didDigomi,55,2,1,1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,700
