Status,Condition,District,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,PerSq
old,newRenov,gldani,5,3,2,1,9,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,514
old,newRenov,muxiani,4,3,3,8,9,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,515
old,oldRenov,gldani,4,3,1,7,9,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,517
old,newRenov,gldani,7,2,1,1,9,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,517
old,newRenov,vazisubani,2,1,1,5,8,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,517
old,newRenov,vazisubani,4,3,3,7,9,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,517
new,white,nadzaladevi,3,2,1,10,14,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,520
old,newRenov,temqa,2,2,1,1,8,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,520
new,black,didDigomi,2,1,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521
old,newRenov,muxiani,2,1,2,5,9,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,521
old,newRenov,temqa,2,1,2,5,8,5,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,522
new,black,saburtalo,4,3,2,2,18,25,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,522
old,newRenov,muxiani,2,1,1,9,9,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,522
old,oldRenov,sandzona,2,2,1,7,8,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,523
old,oldRenov,sandzona,2,0,1,7,8,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,523
WIP,black,saburtalo,2,2,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523
old,oldRenov,gldani,5,4,2,5,9,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,524
old,oldRenov,gldani,3,2,1,3,9,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,524
old,oldRenov,varketili,1,0,1,3,5,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,525
old,newRenov,varketili,3,2,2,3,9,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,525
old,oldRenov,vake,3,2,1,2,5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,526
new,newRenov,sandzona,3,2,1,14,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,526
new,white,vazisubani,3,2,1,4,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,526
new,newRenov,vazisubani,3,2,2,10,10,7,40,0,1,1,0,1,1,1,0,0,1,0,0,1,0,529
old,newRenov,vazisubani,3,2,1,1,8,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,529
new,black,saburtalo,2,1,1,6,11,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,529
old,oldRenov,gldani,3,2,2,2,10,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,529
new,white,didDigomi,3,2,1,2,5,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,530
new,black,didDigomi,4,3,1,5,7,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,530
old,newRenov,sandzona,5,3,1,2,9,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,531
old,newRenov,saburtalo,6,4,2,8,9,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,531
old,newRenov,vake,4,2,2,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,531
old,newRenov,didDigomi,4,3,2,1,9,14,12,0,1,1,1,1,1,1,0,1,0,0,1,1,1,531
WIP,black,vake,3,2,2,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,532
old,oldRenov,isani,4,3,2,2,9,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,532
new,black,vake,5,4,3,12,12,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,532
old,newRenov,temqa,3,2,1,3,8,3,0,5,0,0,0,0,1,0,0,0,1,0,0,0,1,533
new,newRenov,varketili,2,1,2,2,9,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,533
new,white,didDigomi,3,2,1,3,7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,533
old,newRenov,vazisubani,2,1,2,9,9,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,533
old,newRenov,vazisubani,2,1,1,5,8,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,533
old,oldRenov,gldani,3,2,1,5,16,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,533
old,newRenov,vake,3,2,3,18,8,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,534
old,oldRenov,samgori,3,2,1,1,3,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,535
new,newRenov,varketili,2,1,1,8,9,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,535
old,newRenov,samgori,3,2,1,8,9,0,0,7,0,1,1,1,1,1,0,0,1,0,0,0,0,538
new,white,didDigomi,3,2,1,6,10,10,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,538
old,newRenov,didDigomi,4,3,2,2,9,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,539
old,oldRenov,gldani,2,1,1,3,9,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,541
