ID,Area,Status,Condition,District,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,Views,PerSq
8785217,143,new,white,nadzaladevi,5,3,2,3,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,476,566
8940434,143,new,newRenov,sandzona,5,4,2,4,16,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,28,588
8861345,142,old,oldRenov,vera,5,4,2,8,9,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,177,968
8822756,142,new,oldRenov,saburtalo,5,3,2,9,13,20,0,10,1,1,0,1,1,1,1,1,1,0,0,1,1,376,1162
8924613,140,old,newRenov,nadzaladevi,5,3,1,5,5,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,115,607
8877946,140,old,oldRenov,chugureti,5,3,2,2,3,12,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,103,801
8945976,140,old,oldRenov,vake,5,2,2,2,4,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,69,929
8914928,140,new,newRenov,vake,5,3,2,3,10,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,238,1071
8938817,139,new,black,saburtalo,5,3,2,7,15,10,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,132,819
8924761,138,new,newRenov,didube,5,3,1,3,10,7,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,127,942
8924766,136,old,newRenov,saburtalo,5,3,1,16,16,5,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,143,580
8898926,135,old,oldRenov,saburtalo,5,3,1,16,17,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,345,585
8936290,135,new,oldRenov,saburtalo,5,3,2,7,16,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,736,811
8959355,133,old,oldRenov,chugureti,5,2,1,4,4,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,14,1038
