	Area	Rooms	Bedrooms	Bathrooms	Floor	Floors	Balcony	Veranda	Loggia	Heating	Parking	Storeroom	Hot	Gas	Internet	Fireplace	Furniture	Passenger	Service	Telephone	Television	Conditioner	St_new	St_old	Co_black	Co_newRenov	Co_oldRenov	Co_white	Di_didiDigomi	Di_digmisMas	Di_gldani	Di_saburtalo	Di_vake	Di_varketili
87	65	2	1	1	7	12	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
88	61	3	2	1	2	9	4	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
89	57	3	2	1	4	10	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
90	49	2	1	1	2	10	2	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
91	57	3	2	1	7	9	3	0	0	1	1	0	1	1	1	0	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0
92	57	3	2	1	4	11	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
93	64	3	2	1	3	10	3	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
94	50	2	1	1	8	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
95	63	3	2	1	3	10	3	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
96	54	3	2	1	7	12	7	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
97	50	2	1	1	6	9	3	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
98	51	2	1	1	6	9	5	0	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0
99	53	3	2	1	3	11	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
100	80	3	0	1	11	12	10	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
101	56	2	1	1	6	12	5	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
102	53	2	1	1	2	10	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
103	55	2	1	1	5	10	3	0	0	1	1	0	1	1	1	0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0
104	60	3	2	1	3	13	3	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
105	59	3	1	1	6	11	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
106	48	2	1	1	2	11	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
107	80	3	2	2	13	14	16	16	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0
108	60	2	1	1	6	10	7	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
109	61	2	1	1	6	10	8	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
110	60	2	1	1	9	9	10	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
111	58	2	1	1	1	10	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
112	56	3	2	1	4	9	6	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
113	41	2	1	1	1	3	0	0	0	0	1	0	1	1	1	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0
114	100	4	3	1	8	8	15	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0
115	81	3	2	1	5	9	0	0	0	1	1	0	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0
116	78	3	2	1	9	10	6	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
