Status,Condition,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,PerSq
old,newRenov,4,2,1,4,5,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1031
old,oldRenov,4,3,2,2,4,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,833
old,oldRenov,4,3,2,2,3,3,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,833
old,oldRenov,4,3,2,5,9,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1020
old,oldRenov,4,1,2,4,4,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,867
old,oldRenov,4,3,2,4,9,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,893
old,oldRenov,4,3,2,9,9,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,667
old,newRenov,4,3,2,3,5,7,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,775
old,newRenov,4,2,1,7,9,9,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,596
old,oldRenov,4,3,2,1,8,5,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,654
old,newRenov,4,3,1,8,9,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,690
old,oldRenov,4,2,2,8,8,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,754
old,oldRenov,4,3,2,2,5,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,768
old,oldRenov,4,2,2,7,14,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,930
old,oldRenov,4,2,1,2,5,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,992
old,oldRenov,4,2,2,9,9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,542
old,oldRenov,4,2,2,9,9,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,542
old,oldRenov,4,3,1,3,5,9,5,40,1,1,1,1,1,1,0,0,0,0,1,1,0,784
old,newRenov,4,2,1,4,9,0,15,15,1,1,1,1,1,1,0,1,1,0,1,1,0,965
old,oldRenov,4,2,1,7,9,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,500
old,oldRenov,4,2,1,2,9,10,0,10,1,0,1,1,1,1,0,0,0,0,1,0,0,745
old,newRenov,4,2,2,2,16,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,773
old,newRenov,4,3,1,6,6,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,818
old,oldRenov,4,3,1,6,6,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,818
old,oldRenov,4,3,1,4,9,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,818
old,newRenov,4,2,1,3,5,12,0,20,1,1,1,1,1,1,0,1,0,0,0,1,1,945
old,newRenov,4,3,1,8,16,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,951
old,oldRenov,4,2,1,4,8,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,660
old,oldRenov,4,2,1,4,8,5,12,0,0,1,1,1,1,1,0,0,1,0,1,1,1,697
old,oldRenov,4,3,1,3,8,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,932
old,newRenov,4,2,1,3,4,5,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1050
old,oldRenov,4,2,1,3,4,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,845
old,oldRenov,4,3,3,2,9,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,851
old,newRenov,4,3,1,1,8,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,689
old,oldRenov,4,2,1,12,12,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,807
old,newRenov,4,3,1,15,16,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,941
old,newRenov,4,2,1,5,5,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,975
old,newRenov,4,3,2,1,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1043
old,newRenov,3,2,2,5,6,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1211
old,oldRenov,3,2,2,11,16,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,567
old,newRenov,3,2,1,16,16,6,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,739
old,newRenov,3,2,1,8,12,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1091
old,oldRenov,3,2,2,5,8,10,0,21,1,1,1,1,1,1,0,0,1,0,1,0,0,694
old,oldRenov,3,2,1,2,7,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,777
old,oldRenov,3,2,1,6,9,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,600
old,newRenov,3,2,1,8,11,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,691
old,oldRenov,3,2,1,6,8,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,770
old,oldRenov,3,2,1,13,16,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,850
old,oldRenov,3,1,2,7,8,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,719
old,newRenov,3,2,1,6,8,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,792
old,newRenov,3,2,1,5,12,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,642
old,oldRenov,3,2,1,7,8,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,739
old,newRenov,3,2,2,9,10,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1098
old,newRenov,3,2,1,13,16,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,780
old,oldRenov,3,2,1,2,8,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,800
old,oldRenov,3,2,2,9,16,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,730
old,newRenov,3,2,1,16,16,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,862
old,oldRenov,3,2,1,2,8,4,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,926
old,newRenov,3,2,1,1,8,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,706
old,newRenov,3,2,1,1,8,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,706
old,oldRenov,3,2,2,7,8,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,953
old,oldRenov,3,1,1,2,4,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,765
old,newRenov,3,0,1,2,2,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,625
old,oldRenov,3,2,1,6,6,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,675
old,oldRenov,3,2,2,8,8,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,855
old,oldRenov,3,2,1,2,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,913
old,newRenov,3,2,1,7,8,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1000
old,newRenov,3,2,1,7,8,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1038
old,oldRenov,3,2,1,14,16,0,0,4,1,1,1,1,1,1,0,1,1,1,0,1,0,855
old,oldRenov,3,2,1,14,16,0,0,4,1,1,1,1,1,1,0,1,1,0,1,1,1,868
old,oldRenov,3,2,1,4,6,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,693
old,newRenov,3,2,1,3,8,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,933
old,oldRenov,3,1,1,6,8,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,829
old,newRenov,3,2,1,3,5,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,672
old,oldRenov,3,1,1,1,4,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,717
old,newRenov,3,2,1,4,5,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,933
old,oldRenov,3,1,1,2,8,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1383
old,newRenov,3,2,1,4,6,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,900
old,oldRenov,2,1,1,5,5,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,702
old,oldRenov,2,1,2,1,6,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1422
old,oldRenov,2,1,1,4,8,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,654
old,newRenov,2,1,1,6,6,0,22,0,1,0,0,1,1,0,0,1,0,0,0,0,0,622
old,oldRenov,2,1,1,5,5,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,701
old,newRenov,2,2,1,8,8,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,831
old,newRenov,2,1,1,1,5,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,923
old,newRenov,2,2,1,5,8,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1000
old,newRenov,2,1,3,1,8,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,762
old,newRenov,2,1,2,5,5,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,853
old,newRenov,2,1,1,14,16,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,903
old,newRenov,2,1,2,14,16,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,903
old,newRenov,2,1,1,3,5,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,917
old,oldRenov,2,1,1,2,8,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,950
old,oldRenov,2,1,1,2,8,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,950
old,oldRenov,2,2,1,1,2,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,775
old,oldRenov,2,1,1,2,9,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1000
old,oldRenov,2,1,1,16,16,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,635
old,oldRenov,2,1,1,5,14,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,860
old,oldRenov,2,1,1,5,14,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,860
old,newRenov,2,1,2,11,11,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,684
old,newRenov,2,0,1,2,5,4,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1131
old,newRenov,2,1,1,4,7,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1222
old,newRenov,2,1,1,3,5,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,850
old,newRenov,2,1,1,6,8,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1200
old,newRenov,2,1,1,3,9,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1225
old,newRenov,2,1,1,4,6,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,946
old,newRenov,2,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831
old,newRenov,2,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831
old,newRenov,2,1,1,5,5,3,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1200
old,oldRenov,2,1,1,1,14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,769
old,newRenov,1,1,1,8,2,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,600
old,oldRenov,1,1,2,3,8,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,863
old,newRenov,1,1,1,7,8,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,776
old,newRenov,1,1,1,4,5,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,989
old,oldRenov,1,0,1,7,12,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,841
old,oldRenov,1,0,1,1,8,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,930
old,newRenov,1,1,1,4,5,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1042
old,newRenov,1,0,1,6,8,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1008
old,newRenov,1,1,1,4,8,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1053
old,oldRenov,1,1,1,2,8,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1135
old,newRenov,1,1,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857
old,oldRenov,1,1,2,2,8,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1000
old,newRenov,1,1,2,1,5,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1143
old,newRenov,1,1,1,2,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,847
old,oldRenov,1,1,1,5,5,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1167
old,newRenov,1,1,1,4,6,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,942
old,newRenov,1,0,2,2,3,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1250
new,black,8,5,3,14,15,0,208,0,0,0,0,0,1,1,0,0,1,0,0,0,0,434
new,white,8,2,1,4,8,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,596
new,newRenov,7,4,3,3,3,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,788
new,newRenov,7,5,3,11,11,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,684
new,black,7,3,3,2,5,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1210
new,newRenov,7,4,2,4,5,20,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,680
new,newRenov,6,4,1,9,9,10,35,0,1,1,0,1,1,1,0,0,1,0,0,0,1,867
new,newRenov,6,4,2,7,10,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1000
new,oldRenov,6,4,3,2,8,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,973
new,newRenov,6,5,3,2,2,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1188
new,white,6,5,1,6,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,672
new,white,5,4,2,9,14,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,684
new,newRenov,5,3,3,5,6,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1125
new,newRenov,5,3,2,5,5,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,800
new,newRenov,5,4,3,10,11,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,800
new,oldRenov,5,3,2,13,14,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,859
new,newRenov,5,3,3,13,13,0,36,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1276
new,newRenov,5,3,3,6,12,4,8,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1120
new,newRenov,5,3,3,16,22,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1213
new,newRenov,5,3,2,9,11,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1100
new,white,5,3,1,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
new,newRenov,5,3,2,9,15,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,923
new,newRenov,5,3,1,4,11,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,900
new,newRenov,5,4,3,12,13,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1081
new,newRenov,5,3,2,11,16,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1234
new,oldRenov,5,3,2,9,13,20,0,10,1,1,0,1,1,1,1,1,1,0,0,1,1,1162
new,black,5,3,2,7,15,10,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,819
new,oldRenov,5,3,2,7,16,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,811
new,white,5,3,2,4,12,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,649
new,black,5,4,1,17,17,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1050
new,newRenov,5,3,1,13,15,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1250
new,newRenov,5,3,2,7,8,5,6,0,1,1,1,1,1,1,0,0,1,0,0,0,1,878
new,newRenov,4,3,1,10,10,15,140,0,1,1,1,1,1,1,0,1,1,0,0,1,1,606
new,newRenov,4,3,2,3,8,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,966
new,black,4,3,1,9,10,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,668
new,newRenov,4,3,3,6,10,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,953
new,newRenov,4,3,3,11,17,15,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1030
new,newRenov,4,3,2,3,10,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,841
new,white,4,3,3,18,20,5,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,906
new,newRenov,4,3,2,7,17,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1289
new,newRenov,4,3,2,10,12,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1065
new,white,4,3,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667
new,newRenov,4,3,2,11,15,6,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,893
new,newRenov,4,3,2,4,12,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1100
new,newRenov,4,0,2,8,12,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1028
new,black,4,0,2,10,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,700
new,newRenov,4,3,2,4,9,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1107
new,newRenov,4,3,3,4,9,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1121
new,newRenov,4,3,2,8,15,8,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1250
new,newRenov,4,3,3,7,12,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1654
new,black,4,3,2,2,18,25,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,522
new,black,4,3,2,4,12,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,850
new,newRenov,4,3,2,3,7,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,956
new,white,4,3,2,13,18,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1140
new,newRenov,4,3,2,3,10,10,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,900
new,newRenov,4,3,2,3,11,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,920
new,newRenov,4,0,2,4,16,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,746
new,black,4,3,2,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750
new,newRenov,4,0,2,14,18,5,0,50,1,1,1,1,1,1,1,1,1,0,0,1,1,805
new,newRenov,4,3,2,10,14,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,923
new,newRenov,4,2,2,14,15,5,20,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1000
new,oldRenov,4,2,1,6,12,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1000
new,newRenov,4,3,2,4,17,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1208
new,black,4,3,3,5,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,840
new,newRenov,4,3,2,11,16,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1139
new,newRenov,4,3,1,9,10,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1015
new,oldRenov,4,3,1,2,10,6,12,0,1,0,1,1,1,1,0,1,1,0,1,1,1,688
new,white,4,3,2,9,9,0,30,0,0,0,0,0,1,0,0,0,1,0,0,0,0,846
new,newRenov,4,3,2,23,23,9,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1200
new,newRenov,4,3,2,23,23,9,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1200
new,newRenov,4,3,2,23,23,8,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1200
new,newRenov,4,3,2,13,22,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1174
new,newRenov,4,3,2,13,15,28,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1429
new,white,4,3,2,4,7,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,913
new,white,4,3,2,2,7,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,913
new,white,4,3,2,4,7,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,939
new,white,4,3,2,4,7,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,939
new,white,4,3,2,4,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,952
new,white,4,3,2,4,7,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,947
new,newRenov,4,3,2,2,10,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,893
new,newRenov,4,2,1,11,17,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,851
new,newRenov,4,2,1,14,14,0,22,0,1,1,1,1,1,1,1,1,1,0,0,1,1,882
new,newRenov,4,3,2,10,16,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,909
new,newRenov,4,3,1,15,19,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1211
new,oldRenov,4,2,2,6,7,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,672
new,newRenov,4,3,1,10,22,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1389
new,white,4,3,1,4,6,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,672
new,newRenov,4,3,1,9,15,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1114
new,newRenov,4,2,1,2,6,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1143
new,newRenov,4,2,1,2,6,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1143
new,newRenov,4,1,1,1,11,4,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,558
new,newRenov,4,3,1,4,14,15,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1596
new,black,4,2,1,2,15,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,707
new,white,4,3,1,1,5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,625
new,white,4,3,1,4,5,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,700
new,newRenov,4,3,2,1,4,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1000
new,newRenov,4,2,1,1,5,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1452
new,newRenov,3,2,2,7,7,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1194
new,newRenov,3,2,2,11,12,6,19,0,1,0,1,1,1,1,0,1,1,1,0,1,1,906
new,newRenov,3,2,2,7,8,20,40,0,1,0,1,1,1,1,1,1,1,0,0,1,1,619
new,newRenov,3,2,1,8,11,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1069
new,white,3,2,2,4,6,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,786
new,newRenov,3,2,2,12,20,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,3571
new,newRenov,3,2,2,4,22,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1752
new,white,3,2,2,11,20,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1800
new,oldRenov,3,2,2,12,15,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,830
