Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,PerSq
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,21,1,1,1,1,3,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,800
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,90,4,3,1,6,14,6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,800
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,44,2,1,1,12,13,4,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,795
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,43,2,1,1,6,11,6,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,786
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,56,3,2,1,4,4,2,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,786
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,42,2,1,1,13,14,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,786
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,60,2,1,1,8,10,7,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,783
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,68,3,2,1,8,12,6,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,779
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,48,3,0,1,9,10,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,771
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,37,1,1,1,4,9,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,770
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,37,2,1,1,4,7,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,770
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,52,2,1,1,4,12,5,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,769
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,49,2,1,1,9,9,6,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,765
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,46,2,1,1,9,10,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,761
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,46,3,2,2,8,10,3,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,761
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,62,3,2,1,10,12,3,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,758
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,37,2,1,1,12,14,4,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,757
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,49,2,1,1,1,4,3,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,755
ახალი აშენებული,ახალი გარემონტებული,დიდი დიღომი,120,3,2,1,2,4,5,5,0,1,1,1,1,1,1,1,0,1,0,1,1,0,750
