ID,Status,Condition,District,Area,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,Views,PerSq,PREDICTION
8925396,new,newRenov,gldani,36,2,1,1,7,10,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,104,897,779
8853181,new,newRenov,didDigomi,36,2,1,1,6,9,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,113,1194,943
8838437,new,newRenov,saburtalo,36,2,1,1,9,10,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1182,1250,1185
8929564,old,newRenov,didube,36,1,1,1,3,8,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,73,944,848
8948723,old,newRenov,vaja,36,1,1,1,4,5,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,237,972,952
8955345,old,newRenov,varketili,36,1,0,1,4,9,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,71,625,640
8957417,old,oldRenov,vera,36,1,0,1,7,8,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,32,1056,1088
8923866,old,oldRenov,vaja,36,2,1,2,6,6,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,168,969,909
8948098,old,newRenov,chugureti,36,3,2,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,129,958,1043
8940240,old,newRenov,saburtalo,36,2,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,831,872
8940235,old,newRenov,saburtalo,36,2,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,831,872
8927467,old,oldRenov,vazisubani,36,1,1,1,2,5,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,107,750,605
8931518,new,newRenov,didDigomi,37,2,1,1,10,11,5,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,89,838,779
8872132,old,newRenov,muxiani,37,2,1,1,8,9,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,399,605,595
8936267,new,newRenov,didDigomi,37,2,1,1,9,9,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,158,784,776
8942612,old,newRenov,gldani,37,2,1,1,8,9,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,114,811,678
8944654,new,newRenov,gldani,37,2,1,1,2,14,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,87,865,820
8959750,old,newRenov,saburtalo,37,2,1,1,4,6,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,946,925
8929395,old,oldRenov,saburtalo,37,1,1,1,2,8,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,117,1135,904
8886517,old,newRenov,digmisMas,37,1,0,1,1,8,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,186,865,857
8868236,new,newRenov,didDigomi,37,2,1,1,14,14,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1449,808,754
8892474,old,oldRenov,muxiani,37,1,1,1,5,9,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,174,703,606
8926211,old,oldRenov,varketili,38,1,0,1,8,8,7,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,92,611,564
8857031,new,newRenov,vazisubani,38,2,1,1,9,12,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1089,711,687
8958659,old,newRenov,nucubidze,38,2,1,1,14,16,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,13,1000,891
8935105,new,newRenov,nucubidze,38,2,1,1,14,16,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,61,1000,985
8955355,old,oldRenov,sandzona,38,1,1,1,5,5,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,36,605,570
8958677,old,newRenov,varketili,38,1,1,1,5,8,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,51,697,627
8494104,old,oldRenov,isani,38,1,1,1,5,9,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1142,868,697
8923993,old,oldRenov,nadzaladevi,38,1,1,1,4,9,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,90,921,702
8954564,new,newRenov,nucubidze,38,1,1,1,14,16,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,30,953,924
8913184,new,newRenov,digmisMas,38,2,0,1,10,21,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,62,1179,1151
8940322,old,newRenov,vera,38,1,0,1,8,8,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,68,1316,1287
8959454,new,newRenov,vazisubani,38,1,1,2,13,13,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,24,750,760
8944720,old,newRenov,nucubidze,38,2,1,1,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,974,884
8927515,old,oldRenov,varketili,38,1,1,1,2,4,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,334,553,529
8486917,old,newRenov,saburtalo,38,1,1,1,4,8,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1256,1053,1019
8926253,new,newRenov,didDigomi,39,2,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,38,846,764
8925364,new,newRenov,didube,39,2,1,1,9,12,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,381,915,940
8924658,new,newRenov,saburtalo,39,2,1,1,9,12,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,60,1590,1250
8939418,new,white,vazisubani,39,2,1,1,6,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,90,551,536
8924085,new,white,nadzaladevi,39,2,1,1,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,751,696
8912957,new,newRenov,vashlidzvari,39,2,1,1,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,240,846,760
8958921,new,newRenov,chugureti,40,2,1,1,9,12,5,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,42,775,1081
8930017,new,newRenov,sandzona,40,2,1,1,8,16,5,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,78,875,763
8952369,new,newRenov,saburtalo,40,2,1,1,11,11,5,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,187,950,1062
8791606,new,newRenov,temqa,40,2,1,1,2,6,4,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,902,800,656
8952448,old,newRenov,digmisMas,40,1,1,3,3,5,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,40,1000,877
8934359,old,newRenov,gldani,40,2,1,1,17,17,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,127,700,654
8930984,new,newRenov,gldani,40,2,1,1,17,17,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,106,725,723
8959751,old,newRenov,saburtalo,40,2,1,1,3,5,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,850,880
8697353,old,newRenov,didube,40,2,1,1,3,6,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,823,875,798
8924244,new,newRenov,vashlidzvari,40,2,1,1,3,11,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,107,900,846
8950449,new,newRenov,saburtalo,40,2,1,1,7,9,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,71,980,1056
8942519,old,newRenov,saburtalo,40,2,1,1,6,8,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,65,1200,1084
8948116,new,newRenov,saburtalo,40,2,1,1,5,22,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,159,1298,1255
8949538,old,oldRenov,didube,40,1,1,1,5,8,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,48,725,733
8922275,old,oldRenov,isani,40,1,1,1,8,9,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,145,800,752
8827324,new,white,vashlidzvari,40,1,1,1,7,20,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,203,800,758
